jan_acpbno,ac_number,JAN_PB,delby_booth_janrolls,AC_Name,WON_2020,_2020_Margin_Absolute,_2020_Margin_Percentage,party_name,votes,share
1|245,1,245,311,Valmikinagar,JDU,21585,0.1200,BSP,5,0.6
100|111,100,111,311,Barauli,BJP,14155,0.0800,CPI,14,2.33
100|164,100,164,323,Barauli,BJP,14155,0.0800,CPI,5,1.38
100|163,100,163,345,Barauli,BJP,14155,0.0800,CPI,4,0.98
1|304,1,304,393,Valmikinagar,JDU,21585,0.1200,BSP,21,3.55
1|245,1,245,311,Valmikinagar,JDU,21585,0.1200,RJD,151,18.17
100|264,100,264,300,Barauli,BJP,14155,0.0800,CPI,32,7.42
100|164,100,164,323,Barauli,BJP,14155,0.0800,VIP,94,25.97
1|87,1,87,400,Valmikinagar,JDU,21585,0.1200,BSP,7,0.85
1|87,1,87,400,Valmikinagar,JDU,21585,0.1200,RJD,221,26.98
100|28,100,28,306,Barauli,BJP,14155,0.0800,CPI,3,1.01
100|196,100,196,320,Barauli,BJP,14155,0.0800,JD(U),213,34.13
1|245,1,245,311,Valmikinagar,JDU,21585,0.1200,JD(U),599,72.08
100|111,100,111,311,Barauli,BJP,14155,0.0800,VIP,287,47.83
100|29,100,29,381,Barauli,BJP,14155,0.0800,VIP,208,53.61
100|148,100,148,357,Barauli,BJP,14155,0.0800,JD(U),300,41.78
100|164,100,164,323,Barauli,BJP,14155,0.0800,JD(U),180,49.72
100|163,100,163,345,Barauli,BJP,14155,0.0800,VIP,45,11.06
100|148,100,148,357,Barauli,BJP,14155,0.0800,VIP,292,40.67
1|304,1,304,393,Valmikinagar,JDU,21585,0.1200,RJD,208,35.19
1|304,1,304,393,Valmikinagar,JDU,21585,0.1200,JD(U),254,42.98
100|196,100,196,320,Barauli,BJP,14155,0.0800,CPI,7,1.12
100|195,100,195,320,Barauli,BJP,14155,0.0800,JD(U),333,54.15
101|1,101,1,641,Gopalganj,BJP,36752,0.2100,JD(U),171,46.98
100|200,100,200,463,Barauli,BJP,14155,0.0800,JD(U),332,55.89
100|196,100,196,320,Barauli,BJP,14155,0.0800,VIP,320,51.28
100|201,100,201,335,Barauli,BJP,14155,0.0800,VIP,253,34.38
100|195,100,195,320,Barauli,BJP,14155,0.0800,VIP,195,31.71
100|24,100,24,314,Barauli,BJP,14155,0.0800,JD(U),38,6.45
100|24,100,24,314,Barauli,BJP,14155,0.0800,CPI,4,0.68
101|106,101,106,349,Gopalganj,BJP,36752,0.2100,JD(U),441,54.51
100|28,100,28,306,Barauli,BJP,14155,0.0800,VIP,197,66.55
100|264,100,264,300,Barauli,BJP,14155,0.0800,JD(U),159,36.89
100|24,100,24,314,Barauli,BJP,14155,0.0800,VIP,503,85.4
100|111,100,111,311,Barauli,BJP,14155,0.0800,JD(U),227,37.83
100|200,100,200,463,Barauli,BJP,14155,0.0800,CPI,17,2.86
100|163,100,163,345,Barauli,BJP,14155,0.0800,JD(U),323,79.36
101|115,101,115,313,Gopalganj,BJP,36752,0.2100,JD(U),157,48.61
100|195,100,195,320,Barauli,BJP,14155,0.0800,CPI,10,1.63
100|29,100,29,381,Barauli,BJP,14155,0.0800,CPI,4,1.03
100|62,100,62,306,Barauli,BJP,14155,0.0800,CPI,20,2.88
100|30,100,30,466,Barauli,BJP,14155,0.0800,JD(U),109,20.11
101|1,101,1,641,Gopalganj,BJP,36752,0.2100,VIP,133,36.54
100|201,100,201,335,Barauli,BJP,14155,0.0800,CPI,17,2.31
101|106,101,106,349,Gopalganj,BJP,36752,0.2100,CPI,18,2.22
100|201,100,201,335,Barauli,BJP,14155,0.0800,JD(U),332,45.11
101|119,101,119,419,Gopalganj,BJP,36752,0.2100,VIP,99,14.73
101|130,101,130,323,Gopalganj,BJP,36752,0.2100,CPI,2,0.43
100|30,100,30,466,Barauli,BJP,14155,0.0800,VIP,385,71.03
100|81,100,81,300,Barauli,BJP,14155,0.0800,VIP,179,26.56
100|264,100,264,300,Barauli,BJP,14155,0.0800,VIP,186,43.16
101|103,101,103,300,Gopalganj,BJP,36752,0.2100,VIP,129,44.48
101|132,101,132,483,Gopalganj,BJP,36752,0.2100,VIP,93,34.96
101|120,101,120,359,Gopalganj,BJP,36752,0.2100,JD(U),432,73.85
101|10,101,10,341,Gopalganj,BJP,36752,0.2100,JD(U),139,30.68
100|29,100,29,381,Barauli,BJP,14155,0.0800,JD(U),131,33.76
