Surname,Count
simha,659885
yadava,381230
saha,331302
kumara,287278
raya,280571
rama,272075
prasada,225846
pasavana,224048
mahato,217756
mamdala,156815
chaudhari,146563
sharma,144619
thakura,126647
dasa,122343
jha,103228
mamjhi,94868
sahani,92666
amsari,89929
alama,76083
mishra,62506
miyam,61045
pamdita,57448
sava,55487
bhagata,48943
ali,41912
sada,40527
tivari,37963
devi,37777
mukhiya,35571
gupta,34320
husaina,30872
ahamada,30838
rauta,25789
pandeya,25553
khana,24369
rrishi,23679
mistri,23641
miya.n,22416
rahamana,21364
baitha,20126
rajaka,19545
lala,19300
chauhana,17718
mehata,17232
rrishideva,16688
sinha,15771
tamti,15326
miya,15254
ravidasa,15096
giri,14758
varma,14714
shaha,14515
uddina,13981
haka,13722
pamde,13505
kamata,12976
kham,12602
sahu,12597
mohammada,12268
patela,12175
pamdeya,11831
pathaka,11800
siha,11762
dube,11148
simga,11081
kha.n,10897
shrivastava,10583
sadaya,10088
hasana,9972
mochi,9785
ma.njhi,7871
chaurasiya,7868
poddara,7698
pala,7612
chaupala,7611
mandala,7518
rajavamshi,7361
haqa,7346
nadapha,7324
akhtara,7127
majhi,6915
upadhyaya,6742
ravata,6611
ojha,6563
udina,6506
chaube,6437
murmu,6395
kushavaha,6341
musahara,6257
pasada,6164
mamsuri,6008
bharati,5917
vishvasa,5783
harijana,5752
salima,5100
jayasavala,4938
narayana,4849
khatuna,4833
sorena,4795
kamati,4751
tudu,4575
bina,4568
raina,4550
saradara,4546
gosvami,4405
bhuiyam,4294
gopa,4290
islama,4284
vishvakarma,4257
vinda,4170
kevata,4133
shekha,4126
binda,4118
hembrama,4077
raja,4036
husena,3998
nata,3854
saphi,3815
modi,3809
sulemana,3652
ura.nva,3650
muni,3630
ramjana,3617
keshari,3548
mallika,3402
kalama,3398
kumari,3385
shukla,3349
bhuiya,3332
maramdi,3330
bimda,3315
jamadara,3289
malika,3253
isaraila,3190
uramva,3150
nasima,3117
raॉya,3106
bhuiya.n,3101
kasima,3089
agravala,3087
jalila,3056
mahaladara,3044
kumvara,3036
goda,3015
podara,2998
kuraishi,2959
anavara,2953
gomda,2952
malakara,2945
rishi,2942
yunusa,2932
prajapati,2919
prakasha,2883
shamima,2869
noniya,2840
yasina,2839
ibrahima,2784
pande,2724
prajapata,2723
isalama,2722
asalama,2696
muslima,2670
abbasa,2648
hasima,2644
kishora,2642
karna,2601
mustapha,2598
hajara,2589
hamida,2580
hoda,2571
majida,2564
deva,2541
kharavara,2519
mali,2518
salama,2500
imama,2485
katuna,2460
jabbara,2457
turi,2448
rasula,2444
kisku,2391
pasi,2390
razaqa,2386
khalila,2371
doma,2354
naima,2323
iliyasa,2323
sai,2319
hanipha,2308
raphika,2308
soni,2305
kahara,2298
rasida,2257
ajija,2232
shahida,2208
kalima,2199
habiba,2176
shahi,2175
gaphura,2167
karima,2151
rajabhara,2149
hakima,2147
devana,2113
tahira,2078
ta.nti,2059
kesari,2056
yusupha,2013
hamsada,2007
rahima,1993
setha,1955
khaॉ,1953
maॉjhi,1878
siham,1872
kha,1870
sattara,1849
ajada,1839
kapara,1838
alauddina,1811
rashida,1804
tasalima,1790
bhara,1764
ghosha,1763
nasira,1753
akabara,1743
halima,1727
hajama,1724
mustakima,1722
latipha,1708
phiroja,1699
ayuba,1695
jakira,1688
natha,1683
rajjaka,1682
sagira,1670
mustaka,1662
haphija,1653
sabira,1623
mahamada,1613
sahaya,1604
haruna,1603
jahira,1597
rava,1580
gosai,1580
naushada,1578
jamila,1574
isamaila,1557
vimda,1554
jamala,1549
kuvara,1528
pamjiyara,1518
usamana,1516
saphika,1510
marandi,1502
muramu,1493
varnavala,1490
isahaka,1480
mahammada,1475
haidara,1469
kudusa,1459
idarisa,1455
sadika,1451
shamkara,1450
najira,1436
mallaha,1432
bhamdari,1429
tatama,1429
pharuka,1423
babu,1422
akhatara,1412
turaha,1401
urava,1389
nishada,1385
sharana,1383
shakila,1377
maharaja,1376
dvivedi,1369
nayaka,1356
svarnakara,1354
asagara,1352
mamjura,1351
