Surname,Count,
devi,1980946,
kumari,682654,
kumara,447574,
khatuna,303604,
simha,263476,
yadava,147164,
saha,123382,
raya,109947,
rama,100941,
pasavana,89819,
mahato,78850,
prasada,74866,
katuna,69454,
sharma,64931,
chaudhari,60817,
mamdala,60201,
alama,57922,
jha,54145,
thakura,51084,
dasa,50999,
pravina,45554,
begama,45241,
mamjhi,42018,
amsari,40106,
sahani,39090,
mishra,32314,
nisha,24142,
gupta,23538,
pamdita,22246,
sava,18990,
ali,18471,
sinha,18188,
tivari,17609,
miyam,17551,
bhagata,17432,
sada,17269,
paravina,16781,
ahamada,16084,
mukhiya,15043,
husaina,14018,
raja,12579,
pandeya,12319,
khana,10928,
rrishi,10926,
bharati,10901,
varma,10895,
ara,10756,
rauta,10283,
bibi,9678,
shrivastava,8947,
bano,8447,
chauhana,8329,
kumvara,8306,
mistri,8302,
nesha,8080,
rajaka,8065,
baitha,7696,
rrishideva,7528,
ramjana,7470,
rahamana,7284,
rani,7283,
patela,6673,
giri,6609,
mehata,6550,
pamde,6490,
pathaka,5938,
tamti,5899,
ravidasa,5876,
shaha,5784,
miya.n,5775,
pamdeya,5675,
lala,5665,
kamata,5473,
sahu,5350,
murmu,5302,
haka,5287,
kham,5146,
dube,5005,
kuvara,4948,
jaha.n,4840,
akhtara,4719,
kha.n,4562,
sadaya,4527,
siha,4497,
sorena,3985,
kushavaha,3974,
jayasavala,3895,
mochi,3861,
hasana,3860,
pala,3790,
chaurasiya,3775,
mohammada,3665,
prakasha,3591,
uddina,3534,
tudu,3500,
ma.njhi,3473,
mandala,3421,
hembrama,3419,
priya,3347,
chaupala,3343,
majhi,3278,
upadhyaya,3230,
miya,3222,
rajavamshi,3162,
ojha,3096,
chaube,3055,
poddara,2996,
vegama,2991,
pasada,2988,
phatama,2857,
nadapha,2854,
khanama,2815,
musahara,2797,
simga,2795,
mamsuri,2795,
soni,2785,
maramdi,2768,
sumana,2714,
ku.nvara,2664,
anavara,2589,
haqa,2575,
vishvasa,2537,
ravata,2518,
agravala,2510,
kuara,2290,
nasima,2282,
harijana,2252,
udina,2186,
gosvami,2182,
naja,2159,
kamati,2149,
anamda,2128,
nisa,2074,
nisham,2056,
shekha,2022,
vishvakarma,2007,
kisku,1991,
debi,1925,
raina,1907,
deva,1890,
vinda,1883,
bina,1858,
keshari,1855,
karna,1850,
mallika,1812,
husena,1808,
ura.nva,1788,
salima,1780,
shukla,1755,
muni,1743,
saradara,1737,
kishora,1733,
kevata,1719,
bhuiyam,1700,
nata,1665,
kalama,1650,
hamsada,1642,
binda,1627,
shamima,1620,
narayana,1615,
malika,1607,
asalama,1603,
saphi,1602,
amjuma,1602,
vivi,1582,
ghosha,1538,
islama,1534,
nesa,1527,
uramva,1526,
phiroja,1525,
imama,1503,
gopa,1502,
modi,1498,
shahida,1464,
ajada,1459,
bhuiya.n,1440,
babu,1432,
raॉya,1424,
rishi,1399,
jamadara,1397,
pande,1364,
salama,1361,
tabassuma,1354,
podara,1350,
jaham,1347,
gomda,1317,
bhuiya,1315,
kuvamra,1302,
goda,1290,
naushada,1285,
tara,1283,
hajara,1266,
malakara,1259,
mahaladara,1232,
kuraishi,1216,
shamkara,1215,
noniya,1203,
marandi,1202,
shahi,1198,
naza,1189,
prajapati,1187,
muramu,1161,
sulatana,1157,
nurajaha.n,1152,
kesari,1132,
shakila,1121,
kharavara,1112,
jaina,1110,
ananda,1110,
jamila,1102,
banu,1098,
mustapha,1089,
bimda,1082,
turi,1078,
shekhara,1064,
akabara,1063,
vano,1061,
javeda,1049,
isaraila,1034,
prajapata,1029,
jamala,1029,
doma,1018,
hasada,1002,
imarana,999,
kasima,999,
apharoja,996,
mali,996,
sultana,987,
isalama,985,
sahaya,977,
akhatara,975,
fatama,942,
rijavana,941,
shahina,925,
besara,919,
jaha,919,
rajabhara,918,
sharana,914,
jahana,913,
demvi,904,
rasida,904,
raza,903,
kalima,887,
pasi,882,
hasima,877,
kha,876,
haidara,873,
ta.nti,872,
aripha,869,
datta,867,
mustaka,865,
varnavala,862,
naima,854,
shri,854,
hoda,848,
maॉjhi,847,
sai,841,
samima,835,
rashida,828,
davi,827,
munna,825,
sabira,819,
yasamina,816,
kahara,815,
yunusa,812,
kausara,812,
tarannuma,812,
mustakima,811,
mumataja,806,
abbasa,806,
raushana,805,
saddama,801,
jahida,799,
siham,798,
kamala,795,
tripathi,793,
kuva.nra,791,
devana,785,
khaॉ,783,
gaurava,783,
natha,777,
karima,768,
sarakara,764,
shamashada,764,
shabanama,762,
mara,761,
nasira,757,
kapara,748,
bhushana,743,
raphika,739,
kirana,738,
sagira,737,
jakira,735,
dvivedi,733,
gautama,730,
asagara,729,
hasina,728,
ibrahima,727,
rava,723,
hamida,721,
sulemana,715,
halima,713,
kaura,712,
nishada,710,
bhara,709,
irashada,705,
muslima,705,
chandra,703,
tahira,701,
arya,698,
akarama,695,
rahima,694,
setha,690,
pavina,688,
pharuka,685,
nasarina,681,
jalila,680,
asharapha,677,
iraphana,676,
razaqa,676,
aphasana,674,
kashyapa,673,
gosai,673,
priyamka,673,
nurajaham,667,
sajjada,667,
ajama,667,
kadira,662,
iliyasa,660,
tasalima,660,
ansari,654,
sakila,653,
ku.nara,649,
aramana,647,
sajida,644,
nayaka,644,
urava,640,
bharadvaja,639,
khurshida,639,
sahida,634,
rasula,632,
majida,631,
gulashana,631,
yasina,630,
vimda,629,
saurabha,627,
ikabala,627,
vasima,626,
rana,625,
tatama,616,
amina,606,
jabbara,604,
hajama,604,
turaha,602,
pamjiyara,599,
najira,594,
shi,593,
mahamada,590,
shideva,588,
munni,587,
bhamdari,583,
jasima,579,
jyoti,577,
maharaja,575,
hakima,575,
jahira,574,
mallaha,574,
khatave,573,
amana,566,
isaraphila,565,
purve,561,
sagara,559,
sakina,555,
habiba,553,
mamsura,550,
najima,550,
alauddina,549,
meraja,548,
khushabu,546,
mari,545,
duve,544,
svarnakara,543,
mohana,543,
paudara,541,
simnha,540,
haruna,537,
tanavira,536,
salauddina,533,
khalila,528,
nirala,528,
chamda,521,
puja,517,
shahanaja,513,
kulasuma,512,
alamagira,512,
roshana,510,
raju,510,
priyadarshi,509,
uraॉva,507,
sonu,505,
irafana,502,
apharina,501,
mamjura,496,
ayuba,496,
aphataba,495,
kaushara,495,
vina,492,
yusupha,492,
bihari,491,
ramana,491,
rajavara,490,
sadika,490,
rehana,488,
saba,487,
neha,483,
saida,482,
sonara,480,
karmakara,479,
kamara,478,
ji,477,
lata,476,
phatima,475,
ajija,471,
mushahara,470,
saphika,469,
alaudina,468,
iqabala,467,
mannana,466,
mala,465,
chakravarti,465,
lakshmi,465,
hasanaina,463,
mahatom,459,
jaha.ngira,459,
asipha,458,
julekha,453,
rajjaka,452,
kudusa,450,
mehatara,448,
momina,447,
shahajada,444,
rizavana,444,
mariyama,444,
vakila,443,
prabha,442,
parihara,440,
bari,440,
ha.nsada,439,
chandravamshi,435,
sattara,433,
mahamuda,432,
rubi,429,
siddiki,428,
ajima,428,
bivi,427,
krrishna,427,
mahammada,425,
shahanavaja,425,
ehasana,424,
kumhara,417,
paraveja,416,
haphija,416,
saravara,415,
najama,414,
nisha.n,412,
samira,412,
rustama,411,
gulaba,410,
isamaila,410,
japhara,409,
nausada,407,
dikshita,407,
jarina,405,
jabi,405,
trivedi,400,
mohasina,400,
yasmina,395,
rishideva,395,
ashika,395,
vahida,394,
aphajala,394,
ekabala,394,
shahajaha.n,393,
ku,392,
bahadura,392,
rabbani,392,
shahabuddina,390,
tati,390,
prabhakara,389,
ganesha,388,
baharadara,387,
khaira,385,
ullaha,385,
khalipha,384,
idarisa,384,
jahamgira,383,
gupharana,382,
tabareja,381,
shabbira,380,
alima,377,
musalima,377,
simgha,375,
reja,375,
ejaja,374,
mukharji,373,
sarapharaja,373,
malaha,373,
asaphaka,371,
khalika,370,
shamashera,370,
danisha,370,
manisha,368,
rukhasana,367,
kamakara,364,
amira,363,
bhakta,363,
abdullaha,362,
bala,362,
dauda,361,
padita,359,
samada,357,
anasari,357,
hasiba,356,
chodhari,356,
dilashada,355,
maurya,355,
hanipha,353,
sakira,353,
haॉsada,353,
kamari,352,
basaka,352,
savira,352,
laheri,351,
